Solution ID;Rank;Feasible;Single Objective;Best Iteration;Objective 1;Variable 1;Variable 2;Variable 3;Variable 4;Variable 5;Variable 6;Variable 7;Variable 8;Variable 9;Variable 10;Variable 11;Variable 12;Variable 13;Variable 14;Variable 15;Variable 16;Variable 17;Variable 18;Variable 19;Variable 20;Variable 21;Variable 22;Variable 23;Variable 24;Variable 25;Variable 26;Variable 27;Variable 28;Variable 29;Variable 30;Variable 31;Variable 32;Variable 33;Variable 34;Variable 35;Variable 36;Variable 37;Variable 38;Variable 39;Variable 40;Variable 41;Variable 42;Variable 43;Variable 44;Variable 45;Variable 46;Variable 47;Variable 48;Variable 49;Variable 50;Variable 51;Variable 52;Variable 53;Variable 54;Variable 55;Variable 56;Variable 57;Variable 58;Variable 59;Variable 60;Variable 61;Variable 62;Variable 63;Variable 64;Variable 65;Variable 66;Variable 67;Variable 68;PM;
11;3950;1;1670;3566;1670.000000;1.000000;1.000000;1.000000;1.000000;81.000000;61.000000;61.000000;31.000000;51.000000;31.000000;-9.000000;1.000000;21.000000;1.000000;31.000000;11.000000;-9.000000;71.000000;71.000000;81.000000;1.000000;81.000000;71.000000;71.000000;-9.000000;31.000000;51.000000;71.000000;41.000000;51.000000;-9.000000;81.000000;21.000000;51.000000;81.000000;41.000000;1.000000;21.000000;51.000000;11.000000;1.000000;11.000000;51.000000;71.000000;-9.000000;31.000000;51.000000;61.000000;81.000000;21.000000;1.000000;61.000000;1.000000;81.000000;61.000000;31.000000;21.000000;1.000000;51.000000;1.000000;41.000000;51.000000;71.000000;41.000000;71.000000;41.000000;21.000000;11.000000;1670.000000;
12;2534;1;1210;3566;1210.000000;1.000000;1.000000;1.000000;1.000000;31.000000;1.000000;1.000000;21.000000;-9.000000;61.000000;11.000000;31.000000;31.000000;31.000000;51.000000;-9.000000;11.000000;1.000000;51.000000;1.000000;1.000000;61.000000;71.000000;21.000000;61.000000;31.000000;41.000000;11.000000;1.000000;41.000000;1.000000;51.000000;71.000000;41.000000;41.000000;31.000000;61.000000;31.000000;21.000000;1.000000;71.000000;41.000000;11.000000;1.000000;21.000000;-9.000000;81.000000;31.000000;31.000000;1.000000;11.000000;1.000000;-9.000000;31.000000;11.000000;1.000000;61.000000;31.000000;61.000000;-9.000000;1.000000;11.000000;61.000000;31.000000;31.000000;1.000000;-9.000000;31.000000;1210.000000;
13;3022;1;1500;3566;1500.000000;1.000000;1.000000;1.000000;1.000000;71.000000;-9.000000;11.000000;21.000000;21.000000;1.000000;81.000000;71.000000;41.000000;1.000000;51.000000;61.000000;71.000000;41.000000;21.000000;51.000000;41.000000;71.000000;1.000000;81.000000;41.000000;41.000000;-9.000000;61.000000;-9.000000;61.000000;61.000000;71.000000;81.000000;21.000000;21.000000;51.000000;41.000000;-9.000000;81.000000;21.000000;1.000000;1.000000;-9.000000;31.000000;61.000000;51.000000;-9.000000;61.000000;51.000000;21.000000;41.000000;31.000000;41.000000;-9.000000;51.000000;61.000000;11.000000;31.000000;-9.000000;11.000000;1.000000;41.000000;51.000000;61.000000;11.000000;41.000000;81.000000;71.000000;1500.000000;
14;4987;1;1845;3566;1845.000000;1.000000;1.000000;1.000000;1.000000;81.000000;1.000000;21.000000;11.000000;21.000000;51.000000;41.000000;71.000000;71.000000;71.000000;1.000000;31.000000;71.000000;71.000000;81.000000;71.000000;21.000000;-9.000000;1.000000;51.000000;21.000000;21.000000;41.000000;41.000000;61.000000;-9.000000;71.000000;51.000000;61.000000;71.000000;81.000000;71.000000;1.000000;51.000000;21.000000;1.000000;1.000000;81.000000;71.000000;81.000000;51.000000;81.000000;71.000000;51.000000;21.000000;51.000000;1.000000;-9.000000;41.000000;41.000000;21.000000;-9.000000;41.000000;31.000000;31.000000;21.000000;11.000000;71.000000;41.000000;31.000000;71.000000;51.000000;31.000000;-9.000000;1845.000000;
15;4060;1;1685;3566;1685.000000;1.000000;1.000000;1.000000;1.000000;61.000000;71.000000;-9.000000;31.000000;11.000000;81.000000;21.000000;51.000000;31.000000;61.000000;1.000000;21.000000;1.000000;81.000000;-9.000000;1.000000;11.000000;21.000000;41.000000;21.000000;71.000000;51.000000;-9.000000;31.000000;51.000000;1.000000;71.000000;21.000000;71.000000;71.000000;1.000000;41.000000;71.000000;61.000000;81.000000;61.000000;21.000000;61.000000;51.000000;71.000000;1.000000;71.000000;31.000000;1.000000;31.000000;51.000000;41.000000;61.000000;61.000000;-9.000000;11.000000;-9.000000;1.000000;11.000000;71.000000;71.000000;31.000000;11.000000;71.000000;21.000000;31.000000;31.000000;41.000000;11.000000;1685.000000;
16;3850;1;1655;3566;1655.000000;1.000000;1.000000;1.000000;1.000000;11.000000;61.000000;-9.000000;81.000000;1.000000;11.000000;51.000000;81.000000;41.000000;21.000000;-9.000000;1.000000;51.000000;81.000000;41.000000;11.000000;1.000000;81.000000;71.000000;21.000000;41.000000;71.000000;31.000000;-9.000000;51.000000;21.000000;-9.000000;61.000000;11.000000;31.000000;-9.000000;71.000000;21.000000;81.000000;11.000000;21.000000;51.000000;11.000000;41.000000;41.000000;31.000000;61.000000;1.000000;41.000000;51.000000;-9.000000;61.000000;1.000000;51.000000;31.000000;51.000000;41.000000;1.000000;41.000000;61.000000;71.000000;81.000000;71.000000;51.000000;71.000000;51.000000;61.000000;61.000000;11.000000;1655.000000;
17;3988;1;1675;3566;1675.000000;1.000000;1.000000;1.000000;1.000000;21.000000;71.000000;51.000000;41.000000;-9.000000;51.000000;71.000000;-9.000000;1.000000;11.000000;81.000000;21.000000;81.000000;31.000000;51.000000;-9.000000;51.000000;71.000000;-9.000000;31.000000;1.000000;61.000000;51.000000;31.000000;81.000000;71.000000;51.000000;51.000000;51.000000;21.000000;11.000000;11.000000;71.000000;61.000000;51.000000;81.000000;61.000000;21.000000;71.000000;51.000000;1.000000;41.000000;51.000000;51.000000;21.000000;31.000000;-9.000000;71.000000;41.000000;-9.000000;11.000000;21.000000;71.000000;21.000000;61.000000;21.000000;-9.000000;71.000000;61.000000;41.000000;-9.000000;31.000000;21.000000;81.000000;1675.000000;
18;1783;1;420;3566;420.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;31.000000;11.000000;11.000000;21.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;21.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;420.000000;
24;2264;1;555;3566;555.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;41.000000;31.000000;11.000000;-9.000000;1.000000;21.000000;-9.000000;1.000000;1.000000;1.000000;1.000000;21.000000;-9.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;21.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;555.000000;
22;1862;1;440;3566;440.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;21.000000;11.000000;11.000000;1.000000;11.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;21.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;440.000000;
23;1784;1;420;3566;420.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;31.000000;1.000000;11.000000;41.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;21.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;420.000000;
19;1848;1;435;3566;435.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;31.000000;21.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;21.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;435.000000;
20;1591;1;360;3566;360.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;41.000000;21.000000;11.000000;11.000000;1.000000;21.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;-9.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;21.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;360.000000;
21;2012;1;480;3566;480.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;11.000000;31.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;21.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;480.000000;
25;1462;1;325;3566;325.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;21.000000;21.000000;21.000000;11.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;21.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;325.000000;
26;1826;1;430;3566;430.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;31.000000;11.000000;11.000000;11.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;430.000000;
27;2133;1;510;3566;510.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;31.000000;21.000000;21.000000;21.000000;11.000000;21.000000;21.000000;1.000000;11.000000;11.000000;1.000000;21.000000;11.000000;11.000000;11.000000;1.000000;11.000000;1.000000;21.000000;21.000000;21.000000;21.000000;21.000000;21.000000;21.000000;11.000000;11.000000;11.000000;21.000000;11.000000;21.000000;11.000000;11.000000;11.000000;1.000000;1.000000;11.000000;11.000000;21.000000;11.000000;11.000000;1.000000;1.000000;21.000000;11.000000;11.000000;11.000000;21.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;11.000000;1.000000;11.000000;11.000000;11.000000;11.000000;11.000000;510.000000;
31;1955;1;465;3566;465.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;51.000000;21.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;-9.000000;11.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;11.000000;11.000000;21.000000;11.000000;11.000000;1.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;-9.000000;11.000000;11.000000;11.000000;11.000000;-9.000000;11.000000;21.000000;11.000000;31.000000;31.000000;31.000000;21.000000;31.000000;465.000000;
28;1442;1;320;3566;320.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;11.000000;41.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;21.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;320.000000;
30;2188;1;530;3566;530.000000;1.000000;1.000000;1.000000;1.000000;11.000000;21.000000;21.000000;21.000000;21.000000;21.000000;41.000000;1.000000;1.000000;21.000000;11.000000;21.000000;11.000000;11.000000;11.000000;21.000000;21.000000;21.000000;11.000000;11.000000;1.000000;21.000000;21.000000;1.000000;11.000000;21.000000;21.000000;21.000000;11.000000;21.000000;21.000000;1.000000;11.000000;31.000000;21.000000;11.000000;11.000000;21.000000;11.000000;11.000000;11.000000;11.000000;21.000000;11.000000;11.000000;11.000000;11.000000;21.000000;21.000000;11.000000;21.000000;11.000000;1.000000;11.000000;21.000000;11.000000;1.000000;21.000000;21.000000;11.000000;1.000000;21.000000;1.000000;21.000000;530.000000;
29;1993;1;475;3566;475.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;11.000000;31.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;21.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;475.000000;
32;2175;1;525;3566;525.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;11.000000;1.000000;11.000000;61.000000;31.000000;21.000000;21.000000;1.000000;21.000000;21.000000;21.000000;11.000000;21.000000;1.000000;1.000000;21.000000;11.000000;21.000000;11.000000;21.000000;21.000000;11.000000;11.000000;11.000000;31.000000;11.000000;21.000000;21.000000;11.000000;31.000000;21.000000;11.000000;11.000000;31.000000;11.000000;1.000000;21.000000;21.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;21.000000;11.000000;11.000000;11.000000;21.000000;11.000000;11.000000;21.000000;-9.000000;21.000000;31.000000;11.000000;41.000000;41.000000;41.000000;41.000000;31.000000;525.000000;
33;2307;1;575;3566;575.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;21.000000;11.000000;11.000000;1.000000;21.000000;1.000000;21.000000;1.000000;1.000000;11.000000;1.000000;21.000000;21.000000;21.000000;11.000000;11.000000;11.000000;11.000000;1.000000;11.000000;11.000000;11.000000;21.000000;11.000000;11.000000;11.000000;1.000000;11.000000;21.000000;11.000000;11.000000;11.000000;21.000000;21.000000;11.000000;1.000000;21.000000;11.000000;11.000000;1.000000;21.000000;1.000000;1.000000;1.000000;1.000000;21.000000;1.000000;1.000000;21.000000;21.000000;11.000000;1.000000;11.000000;11.000000;21.000000;11.000000;11.000000;21.000000;11.000000;11.000000;1.000000;11.000000;575.000000;
34;1667;1;385;3566;385.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;11.000000;21.000000;11.000000;21.000000;21.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;21.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;21.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;11.000000;21.000000;21.000000;21.000000;21.000000;11.000000;385.000000;
35;1463;1;325;3566;325.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;31.000000;31.000000;11.000000;11.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;11.000000;1.000000;1.000000;1.000000;21.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;11.000000;11.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;325.000000;
